source,target,weight,evidence_count
Props & setup," Understand why geometry, not taste, governs the shell.",8,6
Octet & DNA-10,UTC 2025-09-20 21:06,8,6
Blocking (5–15 minutes),receipts.,8,6
permutation cards to rethread.,steps.,8,6
H3,H4,8,6
"— Falsifier ids (F1–F4), outcomes, receipts.","✓ Counterexample log, ledger.",8,6
Props & setup, Always leave a 4■bit and a hash trail.,8,6
"Constraint cards, counterexample wall.",Paper kit,8,6
8. Precision,9. Cost,8,6
Blocking (5–15 minutes),accordingly; compare debt drop.,8,6
4. Polar/Spin,Views H3–H4; manages ΔT and cadence.,8,6
Debrief (2–3 prompts),■ Which viewer best predicted success?,8,6
H8,REST (palindromic mirror): notes / constraints,8,6
Page 1,UTC 2025-09-20 21:06,8,6
Debrief (2–3 prompts),"✓ Spectrogram sheet, receipt.",8,6
decks of cards.,thresholds; and ledger reproducible 4-bit commits.,8,6
"— Viewer indices, hotspot ids, Δ■lift chosen, receipts.","✓ Viewer overlays, ledger row.",8,6
Blocking (5–15 minutes),log a 4■bit after retune.,8,6
Paper kit,"Tone generator app, small speaker, paper spectrogram.",8,6
5. Math/Logic,"Bounds, interval proofs, receipts.",8,6
Refined printable kit  Decks  Overlays  Loom  Stations  Ledgers,decks of cards.,8,6
Props & setup, How a 10■minute cadence creates stable throughput.,8,6
"— Tone pair, beat freq, Δ■lift, receipt.","✓ Spectrogram sheet, receipt.",8,6
"Constraint cards, counterexample wall.",Room,8,6
6. Bio/Neuro proxy,"Bounds, interval proofs, receipts.",8,6
Debrief (2–3 prompts),"✓ Viewer overlays, ledger row.",8,6
overlays.,thresholds; and ledger reproducible 4-bit commits.,8,6
4. Polar/Spin,Views H5–H6; L↔R parity checks; spin filters.,8,6
5. Domain,6. Conditioning,8,6
3. Thermal,Views H3–H4; manages ΔT and cadence.,8,6
1. Timing,REST (palindromic mirror): notes / constraints,8,6
Room,"Tone generator app, small speaker, paper spectrogram.",8,6
Room,"Round table, role badges, coordination board.",8,6
4. Pose,5. Domain,8,6
2. Polarity,3. Scale,8,6
log a 4■bit after retune.,"— Tone pair, beat freq, Δ■lift, receipt.",8,6
1) Deal primitives: Aces = primitives. Write domain glyphs on them.,Quick Start,8,6
H7,H8,8,6
Paper kit,"Viewer templates, highlighters.",8,6
7. Cosmos/Fields,"Overlay RMS, gate irreversibility.",8,6
Views H1–H2; runs PSF/FFT mirror; proposes,Δ-lifts.,8,6
Props & setup, How parity+glue legality forces the shell.,8,6
3. Scale,4. Pose,8,6
accordingly; compare debt drop.,"— Viewer indices, hotspot ids, Δ■lift chosen, receipts.",8,6
Debrief (2–3 prompts),■ Did any claim survive only after a Δ■lift?,8,6
5. Math/Logic,Views H5–H6; L↔R parity checks; spin filters.,8,6
6. Conditioning,7. Units,8,6
1. Timing,2. Polarity,8,6
 Run three independent rails on one shell; compare receipts; compress meanings., Show that form stays fixed while semantics swap.,8,6
6. Bio/Neuro proxy,"Overlay RMS, gate irreversibility.",8,6
3. Thermal,Δ-lifts.,8,6
Paper kit,"Round table, role badges, coordination board.",8,6
Page 2,UTC 2025-09-20 21:06,7,6
Page 8,UTC 2025-09-20 21:06,7,6
Notes:,■ Expected debt drop,7,6
 Parity checks → membership; half■shift glue → evenness/unimodularity., Visualize 8■twine E8 and 24■twine Leech masks with octads.,7,6
Attach measured values to cards,Sticky Sidecars (Tokens),7,6
Theorem Cards & Argument Protocol,UTC 2025-09-20 21:06,7,6
 Preserve minority view as Non■Working breadcrumb with hash., Resolve disputes with claim/evidence/Δ■lift/receipt cards.,7,6
What it teaches (learning targets), Map harmonic stack to octet; subharmonics to Cartan ‘outside’ nudges.,7,6
Sticky Sidecars (Tokens),UTC 2025-09-20 21:06,7,6
Page 13,UTC 2025-09-20 21:06,7,6
What it teaches (learning targets), Run three independent rails on one shell; compare receipts; compress meanings.,7,6
 Bind tokens late; redact dangerous meaning; still keep form receipts., Practice stand■in overlays for sensitive domains.,7,6
Octet Overlay + DNA-10,UTC 2025-09-20 21:06,7,6
" Understand why geometry, not taste, governs the shell.", Wrap a tesseract into the torus; locate 4■bit hubs; see 1→64→1 codec sketch.,7,6
Page 7,UTC 2025-09-20 21:06,7,6
Eight views + palindromic rest; ten-state save,Octet Overlay + DNA-10,7,6
 Generalize A/B to 8 views; prevent winner■only bias., Record receipts across slices (metrics × slabs).,7,6
Foam/peg board + balsa rails + clips,Parity Loom (E8/Leech scaffold),7,6
■ Palindromic REST documented,■ Pass/fail marks; debt notes,7,6
Page 3,UTC 2025-09-20 21:06,7,6
Parity Loom (E8/Leech scaffold),UTC 2025-09-20 21:06,7,6
Page 4,UTC 2025-09-20 21:06,7,6
 Practice mirror pairs (FFT↔iFFT; encode↔decode; simulate↔measure)., Turn a one■way mismatch into a local repair with receipts.,7,6
Receipts & 4-bit,Receipts & 4-bit Commit,7,6
"Stations: Measure, Tag, Resume",UTC 2025-09-20 21:06,7,6
Assumptions  Claim  Local Test  Counterexample,Theorem Cards & Argument Protocol,7,6
■ FCE reproduction ok?,■ Views≥4 passed?,7,6
Page 9,UTC 2025-09-20 21:06,7,6
■ Current threshold,■ New (tighter) threshold,7,6
Notes:,■ Views≥4 passed?,7,6
 Converge via receipts; annihilate non■working cheaply., Parallelize OPTICS/THERMAL/POLAR/MATH on same form; swap token packs only.,7,6
 How parity+glue legality forces the shell., Why E8/Leech/Monster emerge from constraints; not taste.,7,6
What it teaches (learning targets), See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.,7,6
Page 18,UTC 2025-09-20 21:06,7,6
Notes:,■ New (tighter) threshold,7,6
Page 6,UTC 2025-09-20 21:06,7,6
" Paper■only run with decks, sticky tokens, and quick metrics.", Pause→measure→resume loop without losing context.,7,6
■ Expected debt drop,■ Preconditions,7,6
 Add viewers without changing work: local 8×8; meso 4×4×4×4; parity 2×2×2×2., Find hot■zones to focus Δ■lifts first.,7,6
■ Inverse pipeline defined,■ Mismatch windows circled,7,6
■ automorphism id,■ constructionA (code/modulus/glue),7,6
 How a 10■minute cadence creates stable throughput.," Role mesh, not silos: 8 seats, 2■bit lanes, neighbor hand■offs.",7,6
Page 12,UTC 2025-09-20 21:06,7,6
Pause cards → test → sticky sidecar → continue,"Stations: Measure, Tag, Resume",7,6
 Always leave a 4■bit and a hash trail., Operate dual■rail safety: blue = open; red = internal only.,7,6
Notes:,■ Mismatch windows circled,7,6
09_Hypercube_Scaffold,UTC 2025-09-20 21:06,7,6
From 4D cube projection to chamber shells,UTC 2025-09-20 21:06,7,6
From 4D cube projection to chamber shells,Hypercube → Toroidal Loom,7,6
H3,H5,6,6
■ Noise floor stable,■ Ripple content decoded,6,6
What it teaches (learning targets), Bind tokens late; redact dangerous meaning; still keep form receipts.,6,6
Notes:,■ Preconditions,6,6
2. Polarity,REST (palindromic mirror): notes / constraints,6,6
■ Closed-loop error ↓,■ Latency within bound,6,6
Systems,■ Seed B-fields consistent,6,6
Debrief (2–3 prompts),■ How does rotation act on class labels?,6,6
Class Kit Checklist,Page 13,6,6
■ What would ‘<8 classes’ break downstream?,"✓ Checked grid, class map (8), receipt.",6,6
Neuro proxy,■ Mode switch detected,6,6
■ Batch day variance ok,■ Ripple content decoded,6,6
Cosmos,■ Seed B-fields consistent,6,6
Room, Practice stand■in overlays for sensitive domains.,6,6
H6,H8,6,6
■ Redshift bins stable,■ Shear fields coherent,6,6
Hand■ins (artifacts to keep),log a 4■bit after retune.,6,6
Octet Map (2 8):,Views,6,6
What it teaches (learning targets), Turn a one■way mismatch into a local repair with receipts.,6,6
N/A,"■■ Build n=1 rest, show first parity choice at n=2.",6,6
Cosmos,■ Mode switch detected,6,6
H2,H4,6,6
■ Which constraint felt most ‘non■negotiable’?,"✓ Counterexample log, ledger.",6,6
Ledger hook (what gets recorded),"■■ Complete n=3, point to latent 4■cell cross.",6,6
Parity Twin (10):,Views,6,6
Systems,■ Safety ratchets ✓,6,6
Props & setup, Bind tokens late; redact dangerous meaning; still keep form receipts.,6,6
"■■ Build n=1 rest, show first parity choice at n=2.",■■ Canonicalize n=4 palindrome (up to pose).,6,6
Ledger hook (what gets recorded),"✓ Checked grid, class map (8), receipt.",6,6
"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.",■■ Canonicalize n=4 palindrome (up to pose).,6,6
H7,REST (palindromic mirror): notes / constraints,6,6
Debrief (2–3 prompts),"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.",6,6
Blocking (5–15 minutes),"■■ Complete n=3, point to latent 4■cell cross.",6,6
H5,H7,6,6
H4,H6,6,6
■ Closed-loop error ↓,■ Redshift bins stable,6,6
■ Noise floor stable,■ Shear fields coherent,6,6
Custom pack notes,■ Safety ratchets ✓,6,6
■ Local identity name,■ Preconditions,6,6
1. Timing,H8,6,6
■ Which Δ■lift removed the beat?,"✓ Spectrogram sheet, receipt.",6,6
Ledger hook (what gets recorded),"✓ Spectrogram sheet, receipt.",6,6
"Overlay RMS, gate irreversibility.",Shear/field rails; anomaly notes.,6,6
H1,H3,6,6
Props & setup,Red/blue pens; redaction tape; safety policy sheet.,6,6
■■ Pick a tiny question (≤1 min).,■■ Run a forward↔inverse mirror; circle mismatches (red).,6,6
Page 1,Quick Start,6,6
What it teaches (learning targets), Understand stand■ins (tokens) vs. form (geometry) vs. meaning (labels).,6,6
■ Current threshold,■ Justification (evidence),6,6
■ FCE reproduction ok?,■ OPE debt ok?,6,6
"■■ Mark 8 views (colored boxes), set a palindromic REST.",■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.,6,6
Instruments,"Viewer templates, highlighters.",6,6
Scene 0: Orientation: The CQE Spine Live,What it teaches (learning targets),6,6
■■ Run a forward↔inverse mirror; circle mismatches (red).,"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",6,6
Ledger hook (what gets recorded),■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.,6,6
"— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit.","■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",6,6
■ FCE reproduction ok?,■ Mirror within tol?,6,6
Props & setup,"Viewer templates, highlighters.",6,6
10-minute run with two decks + overlays,3) Octet overlay: Fill H1–H8 views; record REST constraints.,6,6
"— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit.","✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",6,6
OPE FCE View Mirror,Receipts & 4-bit,6,6
"Constraint cards, counterexample wall.",Instruments,6,6
Room, Find hot■zones to focus Δ■lifts first.,6,6
1) Deal primitives: Aces = primitives. Write domain glyphs on them.,4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.,6,6
 Learn how a 2■minute paper run creates a reproducible ledger row., See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.,6,6
N/A,accordingly; compare debt drop.,6,6
Props & setup, Understand stand■ins (tokens) vs. form (geometry) vs. meaning (labels).,6,6
"Octet sheet, DNA■10, 4■bit sticker, ledger page.","One table, 8 colored pens, tape wall for overlays.",6,6
What it teaches (learning targets), Why E8/Leech/Monster emerge from constraints; not taste.,6,6
N/A,None (paper■only).,6,6
Props & setup, Why E8/Leech/Monster emerge from constraints; not taste.,6,6
None (paper■only).,"Octet sheet, DNA■10, 4■bit sticker, ledger page.",6,6
Room, How parity+glue legality forces the shell.,6,6
CQE Card Kit (Paper-Only),Refined printable kit  Decks  Overlays  Loom  Stations  Ledgers,6,6
CQE Card Kit (Paper-Only),decks of cards.,6,6
■ Which viewer best predicted success?,"✓ Viewer overlays, ledger row.",6,6
N/A,■■ Pick a tiny question (≤1 min).,6,6
"Constraint cards, counterexample wall.",Props & setup,6,6
License: CC-BY 4.0  Generated 2025-09-20,thresholds; and ledger reproducible 4-bit commits.,6,6
Ledger hook (what gets recorded),"✓ Viewer overlays, ledger row.",6,6
"One table, 8 colored pens, tape wall for overlays.",Props & setup,6,6
Hand■ins (artifacts to keep),accordingly; compare debt drop.,6,6
Blocking (5–15 minutes),"■■ Mark 8 views (colored boxes), set a palindromic REST.",6,6
Room, Learn how a 2■minute paper run creates a reproducible ledger row.,6,6
00_Cover,UTC 2025-09-20 21:06,6,6
Notes:,■ FCE reproduction ok?,6,6
■ Which view dominated debt?,"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",6,6
Props & setup, Add viewers without changing work: local 8×8; meso 4×4×4×4; parity 2×2×2×2.,6,6
■ Current threshold,■ Metric name & unit,6,6
H1,Octet Overlay + DNA-10,6,6
"Grid board (4×4), parity markers.", Why the octad is discovered (not assumed) and how it governs later structure.,6,6
Ledger hook (what gets recorded),"✓ Counterexample log, ledger.",6,6
 Printed kit (this PDF), Transparent overlays (acetate),6,6
N/A,receipts.,6,6
" Balsa sticks, foam board / peg board, paper clips"," Sticky notes (token sidecars), colored pens",6,6
■ DNA■10,■ receipts (4■bit + hash),6,6
" Ruler, tape, scissors, hole punch", Transparent overlays (acetate),6,6
Instruments,Red/blue pens; redaction tape; safety policy sheet.,6,6
" Balsa sticks, foam board / peg board, paper clips", Dry-erase sleeves + fine-tip markers,6,6
Room,inequivalent insertions.,6,6
■ Preconditions,■ Safety notes (side effects),6,6
"Grid board (4×4), parity markers.","n=1→4 worksheets, insertion checklist, class bins (8).",6,6
 2+ decks of cards (different back colors) per table," Ruler, tape, scissors, hole punch",6,6
Debrief (2–3 prompts),"— Falsifier ids (F1–F4), outcomes, receipts.",6,6
Eight views + palindromic rest; ten-state save,H2,6,6
Budget-friendly supply list, Dry-erase sleeves + fine-tip markers,6,6
Safety,"n=1→4 worksheets, insertion checklist, class bins (8).",6,6
Notes:,■ thresholds (normal/strict),6,6
 A4/Letter cardstock for cards," Sticky notes (token sidecars), colored pens",6,6
 Clipboard for station runs, Printed kit (this PDF),6,6
■ constructionA (code/modulus/glue),■ form_id,6,6
What it teaches (learning targets),inequivalent insertions.,6,6
3) Octet overlay: Fill H1–H8 views; record REST constraints.,6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.,6,6
Debrief (2–3 prompts),■ Was the Δ■lift local and monotone?,6,6
4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.,7) Iterate: Promote validated cards to your deck top; archive non-working slips.,6,6
■ Which view dominated debt?,■ Would a different mirror have failed?,6,6
Blank Cards (3×3),Page 14,6,6
■ constructionA (code/modulus/glue),■ octet map,6,6
What it teaches (learning targets), Add viewers without changing work: local 8×8; meso 4×4×4×4; parity 2×2×2×2.,6,6
Notes:,■ Current threshold,6,6
■ DNA■10,■ automorphism id,6,6
Hand■ins (artifacts to keep),receipts.,6,6
6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.,"Your first problem setup (tokens, views, mirror, strict)",6,6
Blocking (5–15 minutes),"— Falsifier ids (F1–F4), outcomes, receipts.",6,6
Room layout & station assignments, Clipboard for station runs,6,6
■ Did redaction block reproducibility? How fixed?,"✓ Redacted ledger row, safe receipts.",6,6
1. Timing,3. Scale,6,6
 A4/Letter cardstock for cards, Ledger binder (Working / Non-Working albums),6,6
Ledger hook (what gets recorded),"✓ Redacted ledger row, safe receipts.",6,6
■ octet map,■ thresholds (normal/strict),6,6
Neuro proxy,■ Irreversibility ✓,6,6
■ LHCP/RHCP swap,■ Pulse symmetry,6,6
Props & setup, Turn a one■way mismatch into a local repair with receipts.,6,6
What it teaches (learning targets)," Paper■only run with decks, sticky tokens, and quick metrics.",6,6
Ledger hook (what gets recorded),✓ 3 receipts; promoted pack doc; anchor ledger row.,6,6
■ What fails if glue parity flips?,"✓ Photo of loom, mask sheet, ledger row.",6,6
Post,Receipt,6,6
Hand■ins (artifacts to keep),meaning pack; promote anchor.,6,6
"Decks, sleeves, sticky notes, cheap sensors (thermometer, lux meter, calipers).",Instruments,6,6
Debrief (2–3 prompts),"— Blue/red pair id, hashes, receipts.",6,6
"Decks, sleeves, sticky notes, cheap sensors (thermometer, lux meter, calipers).",Props & setup,6,6
Room, Pause→measure→resume loop without losing context.,6,6
Props & setup," Paper■only run with decks, sticky tokens, and quick metrics.",6,6
8-Person Table Playbook,Page 6,6,6
4 stations; shared octet; sticky token labels.,Props & setup,6,6
■ Was any crucial info missing on blue?,"✓ Blue packet, red sealed packet.",6,6
■ Which neighbor interface was hottest?,"✓ Coord board photo, ledger rows.",6,6
What it teaches (learning targets), Parallelize OPTICS/THERMAL/POLAR/MATH on same form; swap token packs only.,6,6
"Keeps form_id, ledger, and mirror law; calls",Roles  Stations  Neighbor links,6,6
Debrief (2–3 prompts),"— Seat map, cycle count, debt burn, commits.",6,6
"Construction A: p=__, code=______________, glue=________________",Reproducible build receipts,6,6
Props & setup, Parallelize OPTICS/THERMAL/POLAR/MATH on same form; swap token packs only.,6,6
1. Anchor,commits.,6,6
Room, Converge via receipts; annihilate non■working cheaply.,6,6
Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.,N/A,6,6
"— Code id, modulus, glue vector, octad layout, legality receipts.","✓ Photo of loom, mask sheet, ledger row.",6,6
Metric,Δ,6,6
Post,rejoin table play.,6,6
What it teaches (learning targets), Parity checks → membership; half■shift glue → evenness/unimodularity.,6,6
Blocking (5–15 minutes),"— Blue/red pair id, hashes, receipts.",6,6
Sticky Sidecars (Tokens),Token: __________,6,6
Props & setup, Parity checks → membership; half■shift glue → evenness/unimodularity.,6,6
■ Batch day variance ok,■ Overlay RMS ≤ τ,6,6
Room, Visualize 8■twine E8 and 24■twine Leech masks with octads.,6,6
"Foam board, pegs, 8 & 24 strings, clip set.",Props & setup,6,6
■ What metric flipped a decision?,"✓ Card photo, metric sheet, ledger.",6,6
"Foam board, pegs, 8 & 24 strings, clip set.",Instruments,6,6
■ Which Δ■lift generalized across rails?,✓ 3 receipts; promoted pack doc; anchor ledger row.,6,6
N/A,■■ Lay code parity rows; mark syndrome pad.,6,6
Blocking (5–15 minutes),■■ Build E8 halves; overlay mirror; demonstrate root reflections.,6,6
Ledger hook (what gets recorded),"✓ Card photo, metric sheet, ledger.",6,6
■■ Lay code parity rows; mark syndrome pad.,■■ Mask octads for a Leech slice; show legality via parity.,6,6
Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.,Hand■ins (artifacts to keep),6,6
Hypercube → Toroidal Loom,into a toroidal chamber. Mark parity lanes; add Leech masks as needed.,6,6
Ledger hook (what gets recorded),■■ Build E8 halves; overlay mirror; demonstrate root reflections.,6,6
Ledger hook (what gets recorded),"✓ Blue packet, red sealed packet.",6,6
"— Code id, modulus, glue vector, octad layout, legality receipts.",■■ Mask octads for a Leech slice; show legality via parity.,6,6
2. Optics,"Keeps form_id, ledger, and mirror law; calls",6,6
Master Ledger,Page 8,6,6
What it teaches (learning targets), Wrap a tesseract into the torus; locate 4■bit hubs; see 1→64→1 codec sketch.,6,6
N/A,failing with hash.,6,6
What it teaches (learning targets), Resolve disputes with claim/evidence/Δ■lift/receipt cards.,6,6
Props & setup,Three stations; octet master; metrics per rail.,6,6
Props & setup, Resolve disputes with claim/evidence/Δ■lift/receipt cards.,6,6
What it teaches (learning targets)," Role mesh, not silos: 8 seats, 2■bit lanes, neighbor hand■offs.",6,6
Room, Preserve minority view as Non■Working breadcrumb with hash.,6,6
Props & setup,"Theorem cards, claim wall, mirror worksheet.",6,6
5. Math/Logic,6. Bio/Neuro proxy,6,6
Room, Show that form stays fixed while semantics swap.,6,6
Instruments,"Theorem cards, claim wall, mirror worksheet.",6,6
What it teaches (learning targets), Show that form stays fixed while semantics swap.,6,6
Ledger hook (what gets recorded),"✓ Coord board photo, ledger rows.",6,6
"Bounds, interval proofs, receipts.","Overlay RMS, gate irreversibility.",6,6
Props & setup, Run three independent rails on one shell; compare receipts; compress meanings.,6,6
8. Systems/Robotics,Neighbor Links (who talks to whom and when),6,6
Hand■ins (artifacts to keep),failing with hash.,6,6
6. Bio/Neuro proxy,7. Cosmos/Fields,6,6
Closed-loop error; safety ratchets.,Shear/field rails; anomaly notes.,6,6
Ledger hook (what gets recorded),"✓ Card stack, mirror sheet, ledger snippet.",6,6
■ Did any claim survive only after a Δ■lift?,"✓ Card stack, mirror sheet, ledger snippet.",6,6
7. Cosmos/Fields,8. Systems/Robotics,6,6
"Bounds, interval proofs, receipts.",Views H5–H6; L↔R parity checks; spin filters.,6,6
Theorem Card,Theorem Cards & Argument Protocol,6,6
Instruments,Three stations; octet master; metrics per rail.,6,6
Assumptions  Claim  Local Test  Counterexample,Assumptions:,6,6
Views H1–H2; runs PSF/FFT mirror; proposes,commits.,6,6
Blocking (5–15 minutes),"— Seat map, cycle count, debt burn, commits.",6,6
4 stations; shared octet; sticky token labels.,Instruments,6,6
N/A,meaning pack; promote anchor.,6,6
2. Optics,Δ-lifts.,6,6
Blocking (5–15 minutes),"— 4 receipts, shared form_id, per■rail thresholds.",6,6
Instruments,"Round table, role badges, coordination board.",6,6
Ledger hook (what gets recorded),✓ 4 station sheets; master ledger row.,6,6
3. Thermal,Views H1–H2; runs PSF/FFT mirror; proposes,6,6
Views H3–H4; manages ΔT and cadence.,Δ-lifts.,6,6
Props & setup,"Round table, role badges, coordination board.",6,6
Finance),What it teaches (learning targets),6,6
3. Thermal,4. Polar/Spin,6,6
Room, How a 10■minute cadence creates stable throughput.,6,6
Views H3–H4; manages ΔT and cadence.,Views H5–H6; L↔R parity checks; spin filters.,6,6
Debrief (2–3 prompts),"— 4 receipts, shared form_id, per■rail thresholds.",6,6
Props & setup," Role mesh, not silos: 8 seats, 2■bit lanes, neighbor hand■offs.",6,6
4. Polar/Spin,5. Math/Logic,6,6
■ Which rail constrained the others? Why?,✓ 4 station sheets; master ledger row.,6,6
Attach measured values to cards,Value: __________ Units: ____,6,6
04_Parity_Loom,UTC 2025-09-20 21:06,6,6
■ Was the Δ local? Did it generalize to a second view?,"✓ Before/after overlay with red fix marks, 4■bit row.",6,6
Instruments,"Tone generator app, small speaker, paper spectrogram.",6,6
■ AR ≤ 1.5 dB strict,■ Interval proofs,6,6
Thermal,■ WFE ≤ 25→22 nm strict,6,6
N/A,■■ Pick the forward pipeline; write its inverse.,6,6
Math/Logic,■ OPE/FCE debt ↓,6,6
4. Pose,6. Conditioning,6,6
Hot■Zones),What it teaches (learning targets),6,6
■ FFT↔iFFT closure,■ PSF match (SC≥0.98),6,6
■ Interval proofs,■ Type checks pass,6,6
■ FFT↔iFFT closure,■ ΔT/tick ≤ 1.0→0.8 K,6,6
What it teaches (learning targets), Generalize A/B to 8 views; prevent winner■only bias.,6,6
Props & setup, Operate dual■rail safety: blue = open; red = internal only.,6,6
Optics,■ WFE ≤ 25→22 nm strict,6,6
N/A,log a 4■bit after retune.,6,6
Instruments,"Whiteboard, printed spectra pair or time series twin.",6,6
Bio proxy,■ OPE/FCE debt ↓,6,6
Optics  Thermal  Polar/Spin/EM  Math/Logic  Bio  Neuro  Cosmos  Systems,■ PSF match (SC≥0.98),6,6
Notes:,■ Inverse pipeline defined,6,6
■ Forward pipeline defined,■ Inverse pipeline defined,6,6
Room, Record receipts across slices (metrics × slabs).,6,6
7. Units,9. Cost,6,6
6. Conditioning,8. Precision,6,6
Math/Logic,■ Spin filter eff ≥ 80%,6,6
■ AR ≤ 1.5 dB strict,■ LHCP/RHCP swap,6,6
"— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update.",■■ Pick the forward pipeline; write its inverse.,6,6
Polar/Spin/EM,■ Spin filter eff ≥ 80%,6,6
Room, Use beats as a quick hot■zone detector for Δ■lifts.,6,6
5. Domain,7. Units,6,6
Ledger hook (what gets recorded),"✓ Before/after overlay with red fix marks, 4■bit row.",6,6
Thermal,■ Vent cadence stable,6,6
Props & setup, Map harmonic stack to octet; subharmonics to Cartan ‘outside’ nudges.,6,6
Polar/Spin/EM,■ Vent cadence stable,6,6
What it teaches (learning targets), Operate dual■rail safety: blue = open; red = internal only.,6,6
10. Seed,8. Precision,6,6
■ Pulse symmetry,■ ΔT/tick ≤ 1.0→0.8 K,6,6
Debrief (2–3 prompts),"— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update.",6,6
What it teaches (learning targets), Use beats as a quick hot■zone detector for Δ■lifts.,6,6
Room, Always leave a 4■bit and a hash trail.,6,6
Props & setup, Generalize A/B to 8 views; prevent winner■only bias.,6,6
3. Scale,5. Domain,6,6
Merkle-ish page hash / signatures,UTC 2025-09-20 21:06,6,6
Props & setup,"Two clipboards (blue/red), hash stickers.",6,6
N/A,faces.,6,6
Instruments,"Printed nets, tape, colored thread for hubs.",6,6
Blank Cards (3×3),Page 11,6,6
Ledger hook (what gets recorded),■■ List 8 materially independent views (slices or metrics).,6,6
"Printed nets, tape, colored thread for hubs.",Props & setup,6,6
Instruments,"Two clipboards (blue/red), hash stickers.",6,6
"— Views passed, metric triplet, slab size, commit.",■■ Require ≥4 pass post■Δ■lift before commit; log 4■bit.,6,6
Bio proxy,■ Irreversibility ✓,6,6
Room," Understand why geometry, not taste, governs the shell.",6,6
"— Views passed, metric triplet, slab size, commit.","✓ Octet pass grid, receipts.",6,6
Foam/peg board + balsa rails + clips,permutation cards to rethread.,6,6
■ H1–H8 views named and colored,■ Palindromic REST documented,6,6
■ Which 4 were necessary and sufficient?,"✓ Octet pass grid, receipts.",6,6
Props & setup, Wrap a tesseract into the torus; locate 4■bit hubs; see 1→64→1 codec sketch.,6,6
Peg grid (8×8). Mark parity lanes and half-glue ticks.,permutation cards to rethread.,6,6
Room, Practice mirror pairs (FFT↔iFFT; encode↔decode; simulate↔measure).,6,6
■ What would break if hubs were 3 or 9?,"✓ Assembled model photos, notes, ledger.",6,6
■ Inverse pipeline defined,■ Δ■lift candidates listed,6,6
03_Receipts_4bit,OPE FCE View Mirror,6,6
Hand■ins (artifacts to keep),faces.,6,6
Cards for 8 data slices; metric stickers.,Props & setup,6,6
Eight Baseline Packs,Page 12,6,6
Ledger hook (what gets recorded),"✓ Assembled model photos, notes, ledger.",6,6
Cards for 8 data slices; metric stickers.,Instruments,6,6
Notes:,■ Palindromic REST documented,6,6
N/A,■■ List 8 materially independent views (slices or metrics).,6,6
Props & setup,"Tone generator app, small speaker, paper spectrogram.",6,6
Blocking (5–15 minutes),■■ Require ≥4 pass post■Δ■lift before commit; log 4■bit.,6,6
4-bit Commit Stickers,UTC 2025-09-20 21:06,6,6
■ Overlay RMS ≤ τ,■ Type checks pass,6,6
2. Polarity,4. Pose,6,6
Props & setup,"Whiteboard, printed spectra pair or time series twin.",6,6
Scene 6: Two■Scientist Theorem■Card Resolution,What it teaches (learning targets),5,5
Scene 13: Not Lattice Flattery: Governance by Geometry,What it teaches (learning targets),5,5
Scene 7: 8■Person Table with Neighbor Lanes,What it teaches (learning targets),5,5
"Scene 14: Sandbox Red/Blue: Safety, Redaction, Receipts",What it teaches (learning targets),5,5
Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix),What it teaches (learning targets),5,5
Finance), Run three independent rails on one shell; compare receipts; compress meanings.,5,5
What it teaches (learning targets), Preserve minority view as Non■Working breadcrumb with hash.,5,5
What it teaches (learning targets), Practice mirror pairs (FFT↔iFFT; encode↔decode; simulate↔measure).,5,5
What it teaches (learning targets), How a 10■minute cadence creates stable throughput.,5,5
Notes:,■ Local identity name,5,5
What it teaches (learning targets)," Understand why geometry, not taste, governs the shell.",5,5
Worksheet – Δ■lift Cookbook,■ Local identity name,5,5
What it teaches (learning targets), Pause→measure→resume loop without losing context.,5,5
Scene 4: Construction■A Loom: E8 and Leech on Paper,What it teaches (learning targets),5,5
Scene 9: Hypercube→Toroidal Chamber (4■bit Hubs),What it teaches (learning targets),5,5
What it teaches (learning targets), Visualize 8■twine E8 and 24■twine Leech masks with octads.,5,5
■ H1–H8 views named and colored,■ Pass/fail marks; debt notes,5,5
