state_id,label_glyphs,form_tag,parity_lane,scale,pose,domain_hint,sidecars_active,octet_passes,mirror_hash,fourbit_commit,residues,status,notes
S110,🌡️◆☯O∞▷H🌀⟁,monster_patch,1,2,tilt,MATH,"BIO,COSMOS,INFO,MATH,SOUND,SPIN,THERMAL",11101000,ce0787fd5fff,0100,units_guard,non-working,mirror parity clean
S111,⊗⊕✸≈ZY🜔⇄🜄,monster_patch,0,8,weave,THERMAL,"BIO,COSMOS,EM_FIELD,GRAVITY,MATH,PLASMA",10101001,50e0db44cc9e,0100,"purity_drift,units_guard",provisional,ok in dry-run
S112,↔✪✻⊕📡🜂T≡O,torus_d10_singlehelix,1,4,rest,OPTICS,"COMMS,ENTROPY,MATH,OPTICS,SPIN,THERMAL",11111001,81b1ab2e4391,0110,aliasing_edge,working,stable under rotation
S113,♪≡U≜⟡🜔🌀Z□,hypercube_slice,1,1,braid,POLAR,"BIO,EM_FIELD,ENTROPY,GRAVITY,MATH,OPTICS,POLAR,THERMAL,TOPOLOGY",11101111,35d00d9c8fdd,0111,aliasing_edge,non-working,thermal headroom tight
S114,↔◆🜍YX↕✼🜃↺,leech_patch,1,1,tilt,POLAR,"BIO,COMMS,COSMOS,ENTROPY,GRAVITY,INFO,LIGHT,MATH,THERMAL,TOPOLOGY",11001101,96f58512eb6a,0101,"vent_timing_bias,aliasing_edge",working,mirror parity clean
S115,⟁S⊛🎛️✦🜔○♦T,monster_patch,0,8,braid,THERMAL,"COMMS,COSMOS,EM_FIELD,ENTROPY,INFO,OPTICS,PLASMA,POLAR,THERMAL",01011101,bada11a662e7,0101,purity_drift,working,stable under rotation
S116,◆✹⇆🜔JX↔🔮⊗,torus_d10_doublehelix,0,16,tilt,OPTICS,"BIO,EM_FIELD,ENTROPY,GRAVITY,LIGHT,MATH,PLASMA,SOUND,THERMAL,TOPOLOGY",01001111,8710c033c0ee,0101,none,non-working,thermal headroom tight
S117,S≈▷T🜔✺🜄✪♥,torus_d10_doublehelix,1,1,weave,EM_FIELD,"BIO,COMMS,COSMOS,GRAVITY,INFO,MATH,OPTICS,PLASMA,THERMAL,TOPOLOGY",11011111,2a92239bfa4b,0111,purity_drift,working,stable under rotation
S118,L∞🜂☘✸Y⊙↔🟊,monster_patch,0,8,rest,OPTICS,"EM_FIELD,GRAVITY,LIGHT,OPTICS,PLASMA,POLAR,SPIN",10011111,dc507d915542,0110,minor_phase_error,provisional,needs stricter ΔT bound
S119,↔Y✧☘🜂↻Z◆⚛️,hypercube_slice,0,1,weave,OPTICS,"BIO,COMMS,EM_FIELD,OPTICS,PLASMA",11001111,6f2b63321337,0110,none,working,ok in dry-run
S120,🧪≜✻📡♧∵A⊙F,hypercube_slice,0,64,rest,THERMAL,"BIO,COMMS,COSMOS,GRAVITY,MATH,POLAR,SOUND,THERMAL",11100010,e00ccc90bcb7,0100,"aliasing_edge,vent_timing_bias",working,mirror parity clean
S121,🜁∴✼N☯♥Y♩🎛️,leech_patch,0,1,weave,SPINTRONICS,"COMMS,INFO,MATH,OPTICS,PLASMA,SPIN,THERMAL",11010101,1a205dd4047e,0101,"aliasing_edge,purity_drift",working,prefers LHCP
S122,⊙N⊛🧬⟁○U◁🜁,monster_patch,0,64,braid,COSMOS,"BIO,GRAVITY,INFO,LIGHT,MATH,POLAR,SOUND,SPIN,THERMAL",00111111,fe9c67c2ada1,0110,"units_guard,aliasing_edge",provisional,thermal headroom tight
S123,V♬⇄🝙✪☘🜍♣K,torus_d10_singlehelix,1,1,weave,BIO_COHERENCE,"BIO,COMMS,GRAVITY,INFO,OPTICS,TOPOLOGY",11010111,58b7c81d9758,0110,aliasing_edge,provisional,ok in dry-run
S124,🝙◇∴✧♪X♩W🜍,torus_d10_singlehelix,1,4,weave,SPINTRONICS,"EM_FIELD,INFO,LIGHT,PLASMA,SOUND,THERMAL,TOPOLOGY",11101101,dc369a9bceb1,0110,"units_guard,aliasing_edge",provisional,stable under rotation
S125,🟊B✓↔∵F✦■🜃,hypercube_slice,0,8,weave,THERMAL,"ENTROPY,GRAVITY,LIGHT,MATH,SPIN",11111011,f9a0784065d3,0111,"units_guard,purity_drift",working,prefers LHCP
S126,▷●G↻🜁□🧲✪V,torus_d10_doublehelix,1,4,braid,COSMOS,"GRAVITY,LIGHT,OPTICS,POLAR,SOUND,THERMAL,TOPOLOGY",01011101,fe348df27a48,0101,aliasing_edge,working,thermal headroom tight
S127,🝔♧X⊕F🜍⇄⊛∵,hypercube_slice,1,4,braid,OPTICS,"COSMOS,ENTROPY,LIGHT,MATH,SPIN,TOPOLOGY",11011111,9a7a4ff01fa2,0111,vent_timing_bias,working,mirror parity clean
